"date","areaType","areaCode","areaName","newDeaths28DaysByDeathDate","newDeaths60DaysByDeathDate","newDeathsByDeathDate","cumDeaths28DaysByDeathDate","cumDeaths60DaysByDeathDate","cumDeathsByDeathDate","deathsWithin28days","deathsBetween29to60days","deathsAfter60days"
"2020-03-02","nation","E92000001","England",1,1,1,1,1,1,1,0,0
"2020-03-03","nation","E92000001","England",2,2,2,3,3,3,2,0,0
"2020-03-04","nation","E92000001","England",0,0,0,3,3,3,0,0,0
"2020-03-05","nation","E92000001","England",3,3,3,6,6,6,3,0,0
"2020-03-06","nation","E92000001","England",0,0,0,6,6,6,0,0,0
"2020-03-07","nation","E92000001","England",0,0,0,6,6,6,0,0,0
"2020-03-08","nation","E92000001","England",3,3,3,9,9,9,3,0,0
"2020-03-09","nation","E92000001","England",5,5,5,14,14,14,5,0,0
"2020-03-10","nation","E92000001","England",3,3,3,17,17,17,3,0,0
"2020-03-11","nation","E92000001","England",8,8,8,25,25,25,8,0,0
"2020-03-12","nation","E92000001","England",12,12,12,37,37,37,12,0,0
"2020-03-13","nation","E92000001","England",16,16,16,53,53,53,16,0,0
"2020-03-14","nation","E92000001","England",20,20,20,73,73,73,20,0,0
"2020-03-15","nation","E92000001","England",32,32,32,105,105,105,32,0,0
"2020-03-16","nation","E92000001","England",42,42,42,147,147,147,42,0,0
"2020-03-17","nation","E92000001","England",50,50,50,197,197,197,50,0,0
"2020-03-18","nation","E92000001","England",67,67,67,264,264,264,67,0,0
"2020-03-19","nation","E92000001","England",67,67,67,331,331,331,67,0,0
"2020-03-20","nation","E92000001","England",102,102,102,433,433,433,102,0,0
"2020-03-21","nation","E92000001","England",117,117,117,550,550,550,117,0,0
"2020-03-22","nation","E92000001","England",154,154,154,704,704,704,154,0,0
"2020-03-23","nation","E92000001","England",173,173,173,877,877,877,173,0,0
"2020-03-24","nation","E92000001","England",219,219,219,1096,1096,1096,219,0,0
"2020-03-25","nation","E92000001","England",278,278,278,1374,1374,1374,278,0,0
"2020-03-26","nation","E92000001","England",336,336,336,1710,1710,1710,336,0,0
"2020-03-27","nation","E92000001","England",375,375,375,2085,2085,2085,375,0,0
"2020-03-28","nation","E92000001","England",384,384,384,2469,2469,2469,384,0,0
"2020-03-29","nation","E92000001","England",465,466,466,2934,2935,2935,465,1,0
"2020-03-30","nation","E92000001","England",538,538,538,3472,3473,3473,538,0,0
"2020-03-31","nation","E92000001","England",603,603,603,4075,4076,4076,603,0,0
"2020-04-01","nation","E92000001","England",698,698,698,4773,4774,4774,698,0,0
"2020-04-02","nation","E92000001","England",731,732,732,5504,5506,5506,731,1,0
"2020-04-03","nation","E92000001","England",743,743,743,6247,6249,6249,743,0,0
"2020-04-04","nation","E92000001","England",837,838,838,7084,7087,7087,837,1,0
"2020-04-05","nation","E92000001","England",829,829,829,7913,7916,7916,829,0,0
"2020-04-06","nation","E92000001","England",804,805,805,8717,8721,8721,804,1,0
"2020-04-07","nation","E92000001","England",912,914,914,9629,9635,9635,912,2,0
"2020-04-08","nation","E92000001","England",974,975,975,10603,10610,10610,974,1,0
"2020-04-09","nation","E92000001","England",874,874,875,11477,11484,11485,874,0,1
"2020-04-10","nation","E92000001","England",851,852,852,12328,12336,12337,851,1,0
"2020-04-11","nation","E92000001","England",861,862,862,13189,13198,13199,861,1,0
"2020-04-12","nation","E92000001","England",858,859,859,14047,14057,14058,858,1,0
"2020-04-13","nation","E92000001","England",804,804,804,14851,14861,14862,804,0,0
"2020-04-14","nation","E92000001","England",771,775,775,15622,15636,15637,771,4,0
"2020-04-15","nation","E92000001","England",784,784,784,16406,16420,16421,784,0,0
"2020-04-16","nation","E92000001","England",751,754,755,17157,17174,17176,751,3,1
"2020-04-17","nation","E92000001","England",744,748,748,17901,17922,17924,744,4,0
"2020-04-18","nation","E92000001","England",706,717,717,18607,18639,18641,706,11,0
"2020-04-19","nation","E92000001","England",683,689,689,19290,19328,19330,683,6,0
"2020-04-20","nation","E92000001","England",684,695,695,19974,20023,20025,684,11,0
"2020-04-21","nation","E92000001","England",649,654,654,20623,20677,20679,649,5,0
"2020-04-22","nation","E92000001","England",642,651,652,21265,21328,21331,642,9,1
"2020-04-23","nation","E92000001","England",592,609,609,21857,21937,21940,592,17,0
"2020-04-24","nation","E92000001","England",602,626,626,22459,22563,22566,602,24,0
"2020-04-25","nation","E92000001","England",554,573,573,23013,23136,23139,554,19,0
"2020-04-26","nation","E92000001","England",560,577,578,23573,23713,23717,560,17,1
"2020-04-27","nation","E92000001","England",506,525,525,24079,24238,24242,506,19,0
"2020-04-28","nation","E92000001","England",499,530,530,24578,24768,24772,499,31,0
"2020-04-29","nation","E92000001","England",492,520,520,25070,25288,25292,492,28,0
